fee_rate,strategy_name,segment_name,horizon,diagnostic,value,count
0.0,v4.2_candidate_C,ETH_extra_early_2y,1d,pct_tau_gt_0_25_and_forward_negative,0.18904109589041096,138
0.0,v4.2_candidate_C,ETH_extra_early_2y,1d,pct_position_gt_0_10_and_forward_negative,0.15342465753424658,112
0.0,v4.2_candidate_C,ETH_extra_early_2y,1d,pct_gate_gt_0_5_and_forward_negative,0.4986301369863014,364
0.0,v4.2_candidate_C,ETH_extra_early_2y,1d,pct_gate_eq_0_and_forward_negative,0.0,0
0.0,v4.2_candidate_C,ETH_extra_early_2y,1d,avg_forward_return_conditional_tau:tau_le_0,0.00016544567672310367,386
0.0,v4.2_candidate_C,ETH_extra_early_2y,1d,avg_forward_return_conditional_tau:tau_0_to_0_1,0.0002962190454554837,43
0.0,v4.2_candidate_C,ETH_extra_early_2y,1d,avg_forward_return_conditional_tau:tau_0_1_to_0_25,0.011340102371093962,40
0.0,v4.2_candidate_C,ETH_extra_early_2y,1d,avg_forward_return_conditional_tau:tau_0_25_to_0_5,-0.0024545920515099164,114
0.0,v4.2_candidate_C,ETH_extra_early_2y,1d,avg_forward_return_conditional_tau:tau_gt_0_5,-0.000758105686000688,147
0.0,v4.2_candidate_C,ETH_extra_early_2y,1d,avg_forward_return_conditional_position:position_eq_0,0.00017855349689907651,429
0.0,v4.2_candidate_C,ETH_extra_early_2y,1d,avg_forward_return_conditional_position:position_0_to_0_05,0.01130138068612158,36
0.0,v4.2_candidate_C,ETH_extra_early_2y,1d,avg_forward_return_conditional_position:position_0_05_to_0_10,0.003013723666656848,61
0.0,v4.2_candidate_C,ETH_extra_early_2y,1d,avg_forward_return_conditional_position:position_0_10_to_0_20,-0.006178614654176932,97
0.0,v4.2_candidate_C,ETH_extra_early_2y,1d,avg_forward_return_conditional_position:position_gt_0_20,0.0006633442824135025,107
0.0,v4.2_candidate_C,ETH_extra_early_2y,1d,avg_forward_return_conditional_gate:gate_eq_0,,0
0.0,v4.2_candidate_C,ETH_extra_early_2y,1d,avg_forward_return_conditional_gate:gate_0_to_0_25,,0
0.0,v4.2_candidate_C,ETH_extra_early_2y,1d,avg_forward_return_conditional_gate:gate_0_25_to_0_50,,0
0.0,v4.2_candidate_C,ETH_extra_early_2y,1d,avg_forward_return_conditional_gate:gate_0_50_to_0_75,,0
0.0,v4.2_candidate_C,ETH_extra_early_2y,1d,avg_forward_return_conditional_gate:gate_gt_0_75,0.00019032673328661746,730
0.0,v4.2_candidate_C,ETH_extra_early_2y,5d,pct_tau_gt_0_25_and_forward_negative,0.16575342465753426,121
0.0,v4.2_candidate_C,ETH_extra_early_2y,5d,pct_position_gt_0_10_and_forward_negative,0.13150684931506848,96
0.0,v4.2_candidate_C,ETH_extra_early_2y,5d,pct_gate_gt_0_5_and_forward_negative,0.4767123287671233,348
0.0,v4.2_candidate_C,ETH_extra_early_2y,5d,pct_gate_eq_0_and_forward_negative,0.0,0
0.0,v4.2_candidate_C,ETH_extra_early_2y,5d,avg_forward_return_conditional_tau:tau_le_0,0.0011554012444437718,386
0.0,v4.2_candidate_C,ETH_extra_early_2y,5d,avg_forward_return_conditional_tau:tau_0_to_0_1,-0.010322698181088125,43
0.0,v4.2_candidate_C,ETH_extra_early_2y,5d,avg_forward_return_conditional_tau:tau_0_1_to_0_25,0.02915579996895711,40
0.0,v4.2_candidate_C,ETH_extra_early_2y,5d,avg_forward_return_conditional_tau:tau_0_25_to_0_5,0.0033996087740917795,114
0.0,v4.2_candidate_C,ETH_extra_early_2y,5d,avg_forward_return_conditional_tau:tau_gt_0_5,-0.00043620030918929014,147
0.0,v4.2_candidate_C,ETH_extra_early_2y,5d,avg_forward_return_conditional_position:position_eq_0,4.9157542389423985e-06,429
0.0,v4.2_candidate_C,ETH_extra_early_2y,5d,avg_forward_return_conditional_position:position_0_to_0_05,0.028970722794958048,36
0.0,v4.2_candidate_C,ETH_extra_early_2y,5d,avg_forward_return_conditional_position:position_0_05_to_0_10,0.004594982039405807,61
0.0,v4.2_candidate_C,ETH_extra_early_2y,5d,avg_forward_return_conditional_position:position_0_10_to_0_20,-0.005372027782375589,97
0.0,v4.2_candidate_C,ETH_extra_early_2y,5d,avg_forward_return_conditional_position:position_gt_0_20,0.006425352555346821,107
0.0,v4.2_candidate_C,ETH_extra_early_2y,5d,avg_forward_return_conditional_gate:gate_eq_0,,0
0.0,v4.2_candidate_C,ETH_extra_early_2y,5d,avg_forward_return_conditional_gate:gate_0_to_0_25,,0
0.0,v4.2_candidate_C,ETH_extra_early_2y,5d,avg_forward_return_conditional_gate:gate_0_25_to_0_50,,0
0.0,v4.2_candidate_C,ETH_extra_early_2y,5d,avg_forward_return_conditional_gate:gate_0_50_to_0_75,,0
