fee_rate,strategy_name,segment_name,horizon,diagnostic,value,count
0.0,v4.1_default,ETH_extra_early_2y,1d,pct_days_tau_gt_0_and_forward_negative,0.2410958904109589,176
0.0,v4.1_default,ETH_extra_early_2y,1d,pct_days_tau_gt_0_1_and_forward_negative,0.12054794520547946,88
0.0,v4.1_default,ETH_extra_early_2y,1d,pct_days_tau_gt_0_25_and_forward_negative,0.0,0
0.0,v4.1_default,ETH_extra_early_2y,1d,pct_days_position_gt_0_05_and_forward_negative,0.11232876712328767,82
0.0,v4.1_default,ETH_extra_early_2y,1d,pct_days_position_gt_0_10_and_forward_negative,0.021917808219178082,16
0.0,v4.1_default,ETH_extra_early_2y,1d,avg_forward_return_conditional_tau:tau_le_0,0.00016544567672310367,386
0.0,v4.1_default,ETH_extra_early_2y,1d,avg_forward_return_conditional_tau:tau_0_to_0_1,0.0021681167839013673,183
0.0,v4.1_default,ETH_extra_early_2y,1d,avg_forward_return_conditional_tau:tau_0_1_to_0_25,-0.0019980676234151395,161
0.0,v4.1_default,ETH_extra_early_2y,1d,avg_forward_return_conditional_tau:tau_0_25_to_0_5,,0
0.0,v4.1_default,ETH_extra_early_2y,1d,avg_forward_return_conditional_tau:tau_gt_0_5,,0
0.0,v4.1_default,ETH_extra_early_2y,1d,avg_forward_return_conditional_position:position_eq_0,0.00016544567672310367,386
0.0,v4.1_default,ETH_extra_early_2y,1d,avg_forward_return_conditional_position:position_0_to_0_05,0.0015236235814206265,196
0.0,v4.1_default,ETH_extra_early_2y,1d,avg_forward_return_conditional_position:position_0_05_to_0_10,0.0017825194836056943,122
0.0,v4.1_default,ETH_extra_early_2y,1d,avg_forward_return_conditional_position:position_0_10_to_0_20,-0.016962350572085567,26
0.0,v4.1_default,ETH_extra_early_2y,1d,avg_forward_return_conditional_position:position_gt_0_20,,0
0.0,v4.1_default,ETH_extra_early_2y,5d,pct_days_tau_gt_0_and_forward_negative,0.2219178082191781,162
0.0,v4.1_default,ETH_extra_early_2y,5d,pct_days_tau_gt_0_1_and_forward_negative,0.10136986301369863,74
0.0,v4.1_default,ETH_extra_early_2y,5d,pct_days_tau_gt_0_25_and_forward_negative,0.0,0
0.0,v4.1_default,ETH_extra_early_2y,5d,pct_days_position_gt_0_05_and_forward_negative,0.09315068493150686,68
0.0,v4.1_default,ETH_extra_early_2y,5d,pct_days_position_gt_0_10_and_forward_negative,0.024657534246575342,18
0.0,v4.1_default,ETH_extra_early_2y,5d,avg_forward_return_conditional_tau:tau_le_0,0.0011554012444437718,386
0.0,v4.1_default,ETH_extra_early_2y,5d,avg_forward_return_conditional_tau:tau_0_to_0_1,0.007518376098382746,183
0.0,v4.1_default,ETH_extra_early_2y,5d,avg_forward_return_conditional_tau:tau_0_1_to_0_25,-0.0020501422002292555,161
0.0,v4.1_default,ETH_extra_early_2y,5d,avg_forward_return_conditional_tau:tau_0_25_to_0_5,,0
0.0,v4.1_default,ETH_extra_early_2y,5d,avg_forward_return_conditional_tau:tau_gt_0_5,,0
0.0,v4.1_default,ETH_extra_early_2y,5d,avg_forward_return_conditional_position:position_eq_0,0.0011554012444437718,386
0.0,v4.1_default,ETH_extra_early_2y,5d,avg_forward_return_conditional_position:position_0_to_0_05,0.006083583248671314,196
0.0,v4.1_default,ETH_extra_early_2y,5d,avg_forward_return_conditional_position:position_0_05_to_0_10,0.01148412970857889,122
0.0,v4.1_default,ETH_extra_early_2y,5d,avg_forward_return_conditional_position:position_0_10_to_0_20,-0.05952523882381038,26
0.0,v4.1_default,ETH_extra_early_2y,5d,avg_forward_return_conditional_position:position_gt_0_20,,0
0.0,v4.1_default,ETH_extra_early_2y,20d,pct_days_tau_gt_0_and_forward_negative,0.2356164383561644,172
0.0,v4.1_default,ETH_extra_early_2y,20d,pct_days_tau_gt_0_1_and_forward_negative,0.11232876712328767,82
0.0,v4.1_default,ETH_extra_early_2y,20d,pct_days_tau_gt_0_25_and_forward_negative,0.0,0
0.0,v4.1_default,ETH_extra_early_2y,20d,pct_days_position_gt_0_05_and_forward_negative,0.10410958904109589,76
0.0,v4.1_default,ETH_extra_early_2y,20d,pct_days_position_gt_0_10_and_forward_negative,0.024657534246575342,18
0.0,v4.1_default,ETH_extra_early_2y,20d,avg_forward_return_conditional_tau:tau_le_0,0.011277233472887477,386
0.0,v4.1_default,ETH_extra_early_2y,20d,avg_forward_return_conditional_tau:tau_0_to_0_1,0.020484266337438314,183
0.0,v4.1_default,ETH_extra_early_2y,20d,avg_forward_return_conditional_tau:tau_0_1_to_0_25,-0.012952010091170568,161
0.0,v4.1_default,ETH_extra_early_2y,20d,avg_forward_return_conditional_tau:tau_0_25_to_0_5,,0
0.0,v4.1_default,ETH_extra_early_2y,20d,avg_forward_return_conditional_tau:tau_gt_0_5,,0
0.0,v4.1_default,ETH_extra_early_2y,20d,avg_forward_return_conditional_position:position_eq_0,0.011277233472887477,386
0.0,v4.1_default,ETH_extra_early_2y,20d,avg_forward_return_conditional_position:position_0_to_0_05,0.016174952039445557,196
0.0,v4.1_default,ETH_extra_early_2y,20d,avg_forward_return_conditional_position:position_0_05_to_0_10,0.003547504944559862,122
0.0,v4.1_default,ETH_extra_early_2y,20d,avg_forward_return_conditional_position:position_0_10_to_0_20,-0.07460534953441854,26
0.0,v4.1_default,ETH_extra_early_2y,20d,avg_forward_return_conditional_position:position_gt_0_20,,0
0.0,v4.1_default,ETH_3y_recent,1d,pct_days_tau_gt_0_and_forward_negative,0.24405850091407677,267
0.0,v4.1_default,ETH_3y_recent,1d,pct_days_tau_gt_0_1_and_forward_negative,0.11882998171846434,130
0.0,v4.1_default,ETH_3y_recent,1d,pct_days_tau_gt_0_25_and_forward_negative,0.018281535648994516,20
0.0,v4.1_default,ETH_3y_recent,1d,pct_days_position_gt_0_05_and_forward_negative,0.11243144424131626,123
0.0,v4.1_default,ETH_3y_recent,1d,pct_days_position_gt_0_10_and_forward_negative,0.031992687385740404,35
